"Name", "Help", "Unit", "Type", "Source", "Levels/Labels"
"platform_topology_sockets", "Platform information about number of sockets", "numeric", "gauge",  "internal", ""
"platform_dimm_count", "Number of RAM DIMM (all types memory modules)", "numeric", "gauge",  "lshw binary output", "dimm_type"
"platform_dimm_total_size_bytes", "Total RAM size (all types memory modules)", "bytes", "gauge",  "lshw binary output", "dimm_type"
"platform_mem_mode_size_bytes", "Size of RAM (Persistent memory) configured in memory mode.", "numeric", "gauge",  "ipmctl binary output", ""
"platform_cpu_usage", "Logical CPU usage in 1/USER_HZ (usually 10ms).Calculated using values based on /proc/stat.", "numeric", "counter",  "/proc filesystems", "cpu"
"platform_mem_usage_bytes", "Total memory used by platform in bytes based on /proc/meminfo and uses heuristic based on linux free tool (total - free - buffers - cache).", "bytes", "gauge",  "/proc filesystems", ""
"platform_mem_numa_free_bytes", "NUMA memory free per NUMA node based on /sys/devices/system/node/* (MemFree:)", "bytes", "gauge",  "/sys filesystems", "numa_node"
"platform_mem_numa_used_bytes", "NUMA memory free per NUMA used based on /sys/devices/system/node/* (MemUsed:)", "bytes", "gauge",  "/proc filesystems", "numa_node"
"platform_vmstat_numa_pages_migrated", "Virtual Memory stats based on /proc/vmstat for number of migrates pages (autonuma)", "numeric", "counter",  "/proc filesystems", ""
"platform_vmstat_pgmigrate_success", "Virtual Memory stats based on /proc/vmstat for number of migrates pages (succeed)", "numeric", "counter",  "/proc filesystems", ""
"platform_vmstat_pgmigrate_fail", "Virtual Memory stats based on /proc/vmstat for number of migrates pages (failed)", "numeric", "counter",  "/proc filesystems", ""
"platform_vmstat_numa_hint_faults", "Virtual Memory stats based on /proc/vmstat for pgfaults for migration hints", "numeric", "counter",  "/proc filesystems", ""
"platform_vmstat_numa_hint_faults_local", "Virtual Memory stats based on /proc/vmstat: pgfaults for migration hints (local)", "numeric", "counter",  "/proc filesystems", ""
"platform_vmstat_pgfaults", "Virtual Memory stats based on /proc/vmstat:number of page faults", "numeric", "counter",  "/proc filesystems", ""
"platform_pmm_bandwidth_reads", "Persistent memory module number of reads.", "numeric", "counter",  "perf subsystem with cgroups", "socket, pmu_type"
"platform_pmm_bandwidth_writes", "Persistent memory module number of writes.", "numeric", "counter",  "perf subsystem with cgroups", "socket, pmu_type"
"platform_cas_count_reads", "Column adress select number of reads", "numeric", "counter",  "perf subsystem with cgroups", "socket, pmu_type"
"platform_cas_count_writes", "Column adress select number of writes", "numeric", "counter",  "perf subsystem with cgroups", "socket, pmu_type"
"platform_upi_rxl_flits", "TBD", "numeric", "counter",  "perf subsystem with cgroups", "socket, pmu_type"
"platform_upi_txl_flits", "TBD", "numeric", "counter",  "perf subsystem with cgroups", "socket, pmu_type"
"platform_pmm_reads_bytes_per_second", "TBD", "numeric", "gauge",  "derived", "socket, pmu_type"
"platform_pmm_writes_bytes_per_second", "TBD", "numeric", "gauge",  "derived", "socket, pmu_type"
"platform_pmm_total_bytes_per_second", "TBD", "numeric", "gauge",  "derived", "socket, pmu_type"
"platform_dram_reads_bytes_per_second", "TBD", "numeric", "gauge",  "derived", "socket, pmu_type"
"platform_dram_writes_bytes_per_second", "TBD", "numeric", "gauge",  "derived", "socket, pmu_type"
"platform_dram_total_bytes_per_second", "TBD", "numeric", "gauge",  "perf subsystem with cgroups", "socket, pmu_type"
"platform_dram_hit_ratio", "TBD", "numeric", "gauge",  "derived", "socket, pmu_type"
"platform_upi_bandwidth_bytes_per_second", "TBD", "numeric", "counter",  "derived", "socket, pmu_type"
"platform_last_seen", "Timestamp the information about platform was last collected", "timestamp", "counter",  "internal", ""



"wca_up", "Health check for WCA returning timestamps of last iteration", "timestamp", "counter",  "internal", ""
"wca_information", "Special metric to cover some meta information like wca_version or cpu_model or platform topology (to be used instead of include_optional_labels)", "numeric", "gauge",  "internal", ""
"wca_tasks", "Number of discovered tasks", "numeric", "gauge",  "internal", ""
"wca_mem_usage_bytes", "Memory usage by WCA itself (getrusage for self and children).", "bytes", "gauge",  "internal", ""
"wca_duration_seconds", "Internal WCA function call duration metric for profiling", "numeric", "gauge",  "internal", ""
"wca_duration_seconds_avg", "Internal WCA function call duration metric for profiling (average from last restart)", "numeric", "gauge",  "internal", ""

