"platform_mem_usage", "Total memory used by platform in bytes based on /proc/meminfo and uses heuristic based on linux free tool (total - free - buffers - cache).", "bytes", "gauge",  "proc sys filesystems", ""
"platform_vmstat_numa_pages_migrated", "Virtual Memory stats based on /proc/vmstat for number of migrates pages (autonuma)", "numeric", "counter",  "proc sys filesystems", ""
"platform_vmstat_pgmigrate_success", "Virtual Memory stats based on /proc/vmstat for number of migrates pages (succeded)", "numeric", "counter",  "proc sys filesystems", ""
"platform_vmstat_pgmigrate_fail", "Virtual Memory stats based on /proc/vmstat for number of migrates pages (failed)", "numeric", "counter",  "proc sys filesystems", ""
"platform_vmstat_numa_hint_faults", "Virtual Memory stats based on /proc/vmstat for pgfaults for migration hints", "numeric", "counter",  "proc sys filesystems", ""
"platform_vmstat_numa_hint_faults_local", "Virtual Memory stats based on /proc/vmstat: pgfaults for migration hints (local)", "numeric", "counter",  "proc sys filesystems", ""
"platform_vmstat_pgfaults", "Virtual Memory stats based on /proc/vmstat:number of page faults", "numeric", "counter",  "proc sys filesystems", ""
"platform_mem_numa_free_bytes", "NUMA memory free per numa node TODO!", "bytes", "gauge",  "proc sys filesystems", "numa_node"
"platform_mem_numa_used_bytes", "NUMA memory used per numa node TODO!", "bytes", "gauge",  "proc sys filesystems", ""
"platform_pmm_bandwidth_read", "Persistent memory module number of reads.", "numeric", "counter",  "perf subsystem with cgroups", "cpu, pmu"
"platform_pmm_bandwidth_write", "Persistent memory module number of writes.", "numeric", "counter",  "perf subsystem with cgroups", "cpu, pmu"
"platform_cas_count_read", "Column adress select number of reads", "numeric", "counter",  "perf subsystem with cgroups", "cpu, pmu"
"platform_cas_count_write", "Column adress select number of writes", "numeric", "counter",  "perf subsystem with cgroups", "cpu, pmu"
"platform_upi_rxl_flits", "TBD", "numeric", "counter",  "perf subsystem with cgroups", "cpu, pmu"
"platform_upi_txl_flits", "TBD", "numeric", "counter",  "perf subsystem with cgroups", "cpu, pmu"
"platform_pmm_reads_bytes_per_second", "TBD", "numeric", "gauge",  "derived", "cpu, pmu"
"platform_pmm_writes_bytes_per_second", "TBD", "numeric", "gauge",  "derived", "cpu, pmu"
"platform_dram_reads_bytes_per_second", "TBD", "numeric", "gauge",  "derived", "cpu, pmu"
"platform_dram_writes_bytes_per_second", "TBD", "numeric", "gauge",  "derived", "cpu, pmu"
"platform_pmm_total_bytes_per_second", "TBD", "numeric", "gauge",  "derived", "cpu, pmu"
"platform_dram_total_bytes_per_second", "TBD", "numeric", "gauge",  "perf subsystem with cgroups", "cpu, pmu"
"platform_dram_hit", "TBD", "numeric", "gauge",  "derived", "cpu, pmu"
"platform_upi_bandwidth_bytes_per_second", "TBD", "numeric", "counter",  "derived", "cpu, pmu"
"platform_last_seen", "Timestamp the information about platform was last collected", "timestamp", "counter",  "internal", ""
"wca_up", "Always returns 1", "numeric", "counter",  "internal", ""
"wca_duration_seconds", "Interal WCA function call duration metric for profiling", "numeric", "gauge",  "internal", ""
"wca_duration_seconds_avg", "Interal WCA function call duration metric for profiling (average from last restart)", "numeric", "gauge",  "internal", ""

